fname,text
始めたての初心者がやると良いことは？,始めたての初心者がやると良いことは、メインステージを進める。初心者ミッションを進めることです。
始めて少し経った初心者がやると良いこと,始めて少し経った初心者がやると良いことは、メインステージを進めて、宝物を集めることです。宝物の効果はかなり強いので特にミネラル関係の宝物を集めるのがおすすめです。
ガチャについて,ガチャについて、ガチャはキャラガチャと装備ガチャがありますが、ルビーは貴重なので、キャラガチャはなるべくガチャチケットだけで引くようにしましょう。また、LINEレンジャーのガチャは渋いので、確定ボックスがもらえる3000ルビーまで貯めて、装備ガチャを引くのがおすすめです。
ルビーはどうやったら手に入る？,ルビーは、ランクアップ、キャラをレベルマックスにする、PvPの報酬、迷宮などのイベントで手に入ります。
PvP基準で強くなるため、勝つために、優先的に上げると良い数値,PvP基準で強くなるため、勝つために、優先的に上げると良い数値はスキル抵抗、スキル回避、ミネラルの３つが最優先事項で、余裕があれば再出動時間を上げると良いです。
キャラレベル上限を上げるメリットは何？,キャラレベル上限を上げるメリットはステータスが高くなる、再出動時間が早くなるの2点です。
装備のオプションは何にしたら良い？,装備のオプションはスキル抵抗、スキル回避、ミネラル軽減のいずれかがおすすめです。ミネラルが足りなく、キャラを出せないということをよく感じるのであれば、ミネラル軽減を。スキル抵抗が100以上でないなら、スキル抵抗を100以上になるように。余裕があればスキル回避を上げるのがおすすめです。
スキル抵抗について,スキル抵抗は100にしてもスキルダメージを受けます。ユーザーの間では３%というのが通説ですが、公式情報は出ておりません。
スキルで重要な数値について,スキルで特に重要な数値は、無敵解除です。無敵解除がついていないと、無敵状態のキャラにはダメージはおろか、その効果すら当たりません。
敵前衛が倒せません。なぜですか？,敵前衛が倒せない理由には、後方スキル故に、前衛にスキルがあたっていない可能性、前衛はHPがモリモリなので単純に火力不足な可能性、HP回復のスキルで回復されている可能性があります。敵キャラ上部にスキルマークがついていなかったとしても、HP回復が持続している可能性もあります。
後方スキルとはなんですか？,LINEレンジャーのスキルにはスキル範囲というものが設定されていて、基本は最前線の敵から300といった範囲で当たります。しかし後方スキルは、敵中衛から前後に300といった面積で当たるので強いです。
後方スキルかどうかはどうやってわかりますか？,ステータスなどの情報から判断することはできず、実際に使ってみることでしかわかりません。youtubeやXなどのSNSでの情報収集がおすすめです。
スキルが当たったかどうか、スキルマークについて,スキル命中、スキルマークについて、実はキャラの上のスキルマークが解除されていたとしても、その効果の一部は残っている可能性があります。例えば、持続回復。バフ解除の効果に持続回復は含まれませんが、バフ解除が当たるとおそらく、スキルマークが解除されます。その場合、持続回復のみがスキルマークなしで残っている可能性があります。
星９レベル１６０と星８レベル240。どっちがいい？,星９レベル１６０と星８レベル240、どっちがいいか、ミネラルや再出動時間で見ると、星８レベル２４０のほうが良いです。しかし、星９にすると、アビリティが新たに１つつきます。どちらが良いかは状況次第ですが、新たにアビリティが欲しい場合は星9のレベル160にすると良いでしょう。そうでない場合は星８のレベル240のままでも良いと思います。
無限の塔のコツ,無限の塔のコツは、ミネラルの低い星5以下のレンジャーを回避率を上げて、壁として使うことや、スタンスキル、スキル抵抗ダウンのスキルを使うことです。
コラボキャラについて,コラボについて、LINEレンジャーのコラボキャラは復刻がありません。第2弾があるコラボもありますが、基本ないので、好きなキャラがコラボした場合、どうしても欲しい場合はコラボ期間中に引き切ることにしましょう。ちなみにコラボ期間は基本1ヶ月です。
ギルド戦について,ギルド戦について、ギルド戦では2回攻撃できます。負けてもデメリットはないため、気軽に攻めてください。一つの砦を落とすとボーナス点が入るので皆でそれを狙うのが良いです。ギルド内で決まりがある場合はそれに従ってください。
交換所で何を交換したらよいか,交換所では、何を交換したらいいかは作成中です。
初心者が気をつけること２,初心者が気をつけることとしては、ハイレナ・ウルレナは貴重なので気をつけましょう。特にハイパーレナードが貴重なので、ハイパーレナードはできれば光闇属性のレンジャーにしか使わないこと。キャラを進化させる時は、基本究極進化させて、レベルマックスにしてから、超進化にスイッチするのがおすすめです。まは星９のウルトラレナードはすごく貴重なので慎重に使いましょう。
